blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,blue_objective_share,red_objective_share,blue_vision_share,red_vision_share,blue_ward_efficiency,red_ward_efficiency,blue_kill_share,red_kill_share,blue_gold_per_kill,red_gold_per_kill,blue_xp_per_min,red_xp_per_min,gold_obj_momentum,xp_kill_momentum,gold_diff_per_min,xp_diff_per_min
0,28,2,1,9,6,11,0,0,0,0,17210,6.6,17039,195,36,643,-8,19.5,1721.0,15,6,0,6,9,8,0,0,0,0,16567,6.8,17047,197,55,-643,8,19.7,1656.7,0.5,0.5,0.6511627906976745,0.3488372093023256,0.07142857142857142,0.4,0.6,0.4,1721.0,2366.714285714286,1703.9,1704.7,0,-72,64.3,-0.8
0,12,1,0,5,5,5,0,0,0,0,14712,6.6,16265,174,43,-2908,-1173,17.4,1471.2,12,1,1,5,5,2,2,1,1,1,17620,6.8,17438,240,52,2908,1173,24.0,1762.0,0.0,1.0,0.5,0.5,0.08333333333333333,0.08333333333333333,0.5,0.5,2452.0,2936.6666666666665,1626.5,1743.8,0,-5865,-290.8,-117.3
0,15,0,0,7,11,4,1,1,0,0,16113,6.4,16221,186,46,-1172,-1033,18.6,1611.3,15,3,1,11,7,14,0,0,0,0,17285,6.8,17254,203,28,1172,1033,20.3,1728.5,1.0,0.0,0.5,0.5,0.0,0.2,0.3888888888888889,0.6111111111111112,2014.125,1440.4166666666667,1622.1,1725.4,-1172,-7231,-117.2,-103.3
0,43,1,0,4,5,5,1,0,1,0,15157,7.0,17954,201,55,-1321,-7,20.1,1515.7,15,2,1,5,4,10,0,0,0,0,16478,7.0,17961,235,47,1321,7,23.5,1647.8,1.0,0.0,0.7413793103448276,0.25862068965517243,0.023255813953488372,0.13333333333333333,0.4444444444444444,0.5555555555555556,3031.4,2746.3333333333335,1795.4,1796.1,-1321,-28,-132.1,-0.7
0,75,4,0,6,6,6,0,0,0,0,16400,7.0,18543,210,57,-1004,230,21.0,1640.0,17,2,1,6,6,7,1,1,0,0,17404,7.0,18313,225,67,1004,-230,22.5,1740.4,0.0,1.0,0.8152173913043478,0.18478260869565216,0.05333333333333334,0.11764705882352941,0.5,0.5,2342.8571428571427,2486.285714285714,1854.3,1831.3,0,1380,-100.4,23.0
1,18,0,0,5,3,6,1,1,0,0,15899,7.0,18161,225,42,698,101,22.5,1589.9,36,5,1,3,5,2,0,0,0,0,15201,7.0,18060,221,59,-698,-101,22.1,1520.1,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.1388888888888889,0.625,0.375,2649.8333333333335,3800.25,1816.1,1806.0,698,505,69.8,10.1
1,18,3,1,7,6,7,1,1,0,0,16874,6.8,16967,225,53,2411,1563,22.5,1687.4,57,1,0,6,7,9,0,0,0,0,14463,6.4,15404,164,35,-2411,-1563,16.4,1446.3,1.0,0.0,0.24,0.76,0.16666666666666666,0.017543859649122806,0.5384615384615384,0.46153846153846156,2109.25,2066.1428571428573,1696.7,1540.4,2411,10941,241.1,156.3
0,16,2,0,5,13,3,0,0,0,0,15305,6.4,16138,209,48,-2615,-800,20.9,1530.5,15,0,1,13,5,11,1,1,0,0,17920,6.6,16938,157,54,2615,800,15.7,1792.0,0.0,1.0,0.5161290322580645,0.4838709677419355,0.125,0.0,0.2777777777777778,0.7222222222222222,2550.8333333333335,1280.0,1613.8,1693.8,0,-4000,-261.5,-80.0
0,16,3,0,7,7,8,0,0,0,0,16401,7.2,18527,189,61,-1979,-771,18.9,1640.1,15,2,1,7,7,5,2,1,1,0,18380,7.2,19298,240,53,1979,771,24.0,1838.0,0.0,1.0,0.5161290322580645,0.4838709677419355,0.1875,0.13333333333333333,0.5,0.5,2050.125,2297.5,1852.7,1929.8,0,-5397,-197.9,-77.1
1,13,1,1,4,5,5,1,1,0,0,15057,6.8,16805,220,39,-1548,-1574,22.0,1505.7,16,2,0,5,4,4,0,0,0,0,16605,6.8,18379,247,43,1548,1574,24.7,1660.5,1.0,0.0,0.4482758620689655,0.5517241379310345,0.07692307692307693,0.125,0.4444444444444444,0.5555555555555556,3011.4,2767.5,1680.5,1837.9,-1548,-6296,-154.8,-157.4
