blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,blue_objective_share,red_objective_share,blue_vision_share,red_vision_share,blue_ward_efficiency,red_ward_efficiency,blue_kill_share,red_kill_share,blue_gold_per_kill,red_gold_per_kill,blue_xp_per_min,red_xp_per_min,gold_obj_momentum,xp_kill_momentum,gold_diff_per_min,xp_diff_per_min
1,11,3,0,7,3,7,0,0,0,0,16464,7.2,18030,209,36,1474,963,20.9,1646.4,14,3,1,3,7,3,0,0,0,0,14990,6.6,17067,225,45,-1474,-963,22.5,1499.0,0.5,0.5,0.44,0.56,0.2727272727272727,0.21428571428571427,0.7,0.3,2058.0,3747.5,1803.0,1706.7,0,6741,147.4,96.3
0,91,3,1,6,1,4,2,1,1,0,17016,7.2,19237,214,55,3266,1337,21.4,1701.6,14,0,0,1,6,0,0,0,0,0,13750,6.8,17900,218,56,-3266,-1337,21.8,1375.0,1.0,0.0,0.8666666666666667,0.13333333333333333,0.03296703296703297,0.0,0.8571428571428571,0.14285714285714285,2430.8571428571427,6875.0,1923.7,1790.0,6532,8022,326.6,133.7
1,20,6,1,11,8,12,1,1,0,0,19349,7.2,19673,219,51,2445,1807,21.9,1934.9,15,2,0,8,11,10,0,0,0,0,16904,6.8,17866,194,48,-2445,-1807,19.4,1690.4,1.0,0.0,0.5714285714285714,0.42857142857142855,0.3,0.13333333333333333,0.5789473684210527,0.42105263157894735,1612.4166666666667,1878.2222222222222,1967.3,1786.6,2445,19877,244.5,180.7
0,16,2,1,2,11,2,1,1,0,0,13932,6.4,15660,193,56,-5540,-3682,19.3,1393.2,17,2,0,11,2,13,0,0,0,1,19472,7.2,19342,245,40,5540,3682,24.5,1947.2,1.0,0.0,0.48484848484848486,0.5151515151515151,0.125,0.11764705882352941,0.15384615384615385,0.8461538461538461,4644.0,1622.6666666666667,1566.0,1934.2,-5540,-7364,-554.0,-368.2
1,12,4,0,5,4,7,1,1,0,0,16488,7.2,18632,220,60,1603,1827,22.0,1648.8,18,3,1,4,5,4,1,0,1,0,14885,6.6,16805,197,44,-1603,-1827,19.7,1488.5,0.5,0.5,0.4,0.6,0.3333333333333333,0.16666666666666666,0.5555555555555556,0.4444444444444444,2748.0,2977.0,1863.2,1680.5,1603,9135,160.3,182.7
1,17,3,0,2,1,2,0,0,0,0,15031,6.8,17787,246,48,421,-160,24.6,1503.1,14,3,1,1,2,1,1,1,0,0,14610,6.8,17947,239,55,-421,160,23.9,1461.0,0.0,1.0,0.5483870967741935,0.45161290322580644,0.17647058823529413,0.21428571428571427,0.6666666666666666,0.3333333333333333,5010.333333333333,7305.0,1778.7,1794.7,0,-320,42.1,-16.0
0,21,4,1,3,4,3,0,0,0,0,14509,6.8,17194,201,50,-1110,-1148,20.1,1450.9,17,5,0,4,3,4,0,0,0,0,15619,6.8,18342,241,44,1110,1148,24.1,1561.9,0.5,0.5,0.5526315789473685,0.4473684210526316,0.19047619047619047,0.29411764705882354,0.42857142857142855,0.5714285714285714,3627.25,3123.8,1719.4,1834.2,0,-3444,-111.0,-114.8
1,37,1,0,10,8,10,0,0,0,0,18588,7.2,19735,225,64,2382,2614,22.5,1858.8,16,1,1,8,10,7,0,0,0,0,16206,6.8,17121,192,28,-2382,-2614,19.2,1620.6,0.5,0.5,0.6981132075471698,0.3018867924528302,0.02702702702702703,0.0625,0.5555555555555556,0.4444444444444444,1689.8181818181818,1800.6666666666667,1973.5,1712.1,0,26140,238.2,261.4
0,53,1,0,6,10,6,1,0,1,0,15485,6.8,17138,193,50,-2854,-2798,19.3,1548.5,13,2,1,10,6,9,0,0,0,0,18339,7.4,19936,225,52,2854,2798,22.5,1833.9,1.0,0.0,0.803030303030303,0.19696969696969696,0.018867924528301886,0.15384615384615385,0.375,0.625,2212.1428571428573,1667.1818181818182,1713.8,1993.6,-2854,-16788,-285.4,-279.8
0,17,4,1,5,3,6,1,1,0,0,16695,7.2,19112,257,56,1551,1481,25.7,1669.5,14,2,0,3,5,3,0,0,0,0,15144,6.8,17631,224,52,-1551,-1481,22.4,1514.4,1.0,0.0,0.5483870967741935,0.45161290322580644,0.23529411764705882,0.14285714285714285,0.625,0.375,2782.5,3786.0,1911.2,1763.1,1551,7405,155.1,148.1
0,17,3,1,5,5,6,0,0,0,0,16563,6.8,17565,226,53,1149,-530,22.6,1656.3,19,5,0,5,5,6,0,0,0,0,15414,6.8,18095,205,51,-1149,530,20.5,1541.4,0.5,0.5,0.4722222222222222,0.5277777777777778,0.17647058823529413,0.2631578947368421,0.5,0.5,2760.5,2569.0,1756.5,1809.5,0,-2650,114.9,-53.0
