gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4524785732,0,11,2,0,1,9,1,0,0,0,0,14672,6.6,16566,234,58,-2998,-3331,23.4,1467.2,56,1,1,9,1,10,0,0,0,0,17670,7.2,19897,251,50,2998,3331,25.1,1767.0
4523041821,1,17,4,0,5,5,3,2,1,1,0,16344,7.2,19071,227,64,1168,2292,22.7,1634.4,17,2,1,5,5,3,0,0,0,0,15176,6.8,16779,206,38,-1168,-2292,20.6,1517.6
4518920963,0,68,2,0,4,5,8,0,0,0,0,15594,7.0,17492,233,52,366,1230,23.3,1559.4,42,5,1,5,4,4,1,1,0,0,15228,6.8,16262,205,40,-366,-1230,20.5,1522.8
4468503240,1,91,3,0,10,5,13,0,0,0,1,19571,7.2,18463,213,50,4006,2081,21.3,1957.1,17,1,1,5,10,6,0,0,0,0,15565,6.6,16382,210,47,-4006,-2081,21.0,1556.5
4524992548,1,18,1,0,7,8,8,1,1,0,0,17570,7.0,18283,238,58,527,1493,23.8,1757.0,16,2,1,8,7,11,0,0,0,0,17043,6.8,16790,176,48,-527,-1493,17.6,1704.3
4479934659,0,18,2,1,11,9,13,0,0,0,0,17794,7.2,18646,211,39,337,-260,21.1,1779.4,13,4,0,9,11,7,1,1,0,0,17457,7.0,18906,218,56,-337,260,21.8,1745.7
4462053838,0,17,3,0,7,6,8,0,0,0,0,16441,6.4,16272,218,42,132,-2613,21.8,1644.1,39,5,1,6,7,6,1,1,0,0,16309,7.0,18885,203,69,-132,2613,20.3,1630.9
4469812384,1,16,7,1,4,5,5,0,0,0,0,14707,6.6,16234,213,36,-2268,-2502,21.3,1470.7,22,4,0,5,4,5,1,1,0,0,16975,7.2,18736,254,62,2268,2502,25.4,1697.5
4435716100,0,17,4,0,14,11,16,1,0,1,0,19868,7.0,19587,201,58,2782,4548,20.1,1986.8,92,1,1,11,14,18,1,1,0,0,17086,6.4,15039,157,36,-2782,-4548,15.7,1708.6
4487380203,0,17,1,0,2,8,1,1,1,0,0,14476,6.6,16263,201,57,-4094,-3320,20.1,1447.6,18,2,1,8,2,8,0,0,0,0,18570,7.2,19583,252,66,4094,3320,25.2,1857.0
