blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,blue_objective_share,blue_vision_share,blue_kill_share,log_blueTotalGold,log_blueTotalExperience,log_redTotalGold,log_redTotalExperience,log_blueGoldPerMin,log_redGoldPerMin
11,3,0,7,3,7,0,0,0,0,16464,7.2,18030,209,36,1474,963,20.9,1646.4,14,3,1,3,7,3,0,0,0,0,14990,6.6,17067,225,45,22.5,1499.0,0.0,0.44,0.7,9.708992194810465,9.799847777776368,9.615205300012315,9.744960644307891,7.406953566507148,7.313220387090301
91,3,1,6,1,4,2,1,1,0,17016,7.2,19237,214,55,3266,1337,21.4,1701.6,14,0,0,1,6,0,0,0,0,0,13750,6.8,17900,218,56,21.8,1375.0,1.0,0.8666666666666667,0.8571428571428571,9.741968123371437,9.86464276871256,9.528866827722945,9.792611856190192,7.439911773449957,7.226936018493289
20,6,1,11,8,12,1,1,0,0,19349,7.2,19673,219,51,2445,1807,21.9,1934.9,15,2,0,8,11,10,0,0,0,0,16904,6.8,17866,194,48,19.4,1690.4,1.0,0.5714285714285714,0.5789473684210527,9.870447698457928,9.887053246072703,9.735364715141987,9.790710714933168,7.568327613609903,7.433311867348122
16,2,1,2,11,2,1,1,0,0,13932,6.4,15660,193,56,-5540,-3682,19.3,1393.2,17,2,0,11,2,13,0,0,0,1,19472,7.2,19342,245,40,24.5,1947.2,1.0,0.48484848484848486,0.15384615384615385,9.542015406113592,9.658928824466434,9.876784169701578,9.870085875902097,7.240076053052299,7.5746611483368556
12,4,0,5,4,7,1,1,0,0,16488,7.2,18632,220,60,1603,1827,22.0,1648.8,18,3,1,4,5,4,1,0,1,0,14885,6.6,16805,197,44,19.7,1488.5,0.5,0.4,0.5555555555555556,9.710448770900967,9.832689481227412,9.608176452919857,9.729491244488164,7.408409347426631,7.306195772153337
17,3,0,2,1,2,0,0,0,0,15031,6.8,17787,246,48,421,-160,24.6,1503.1,14,3,1,1,2,1,1,1,0,0,14610,6.8,17947,239,55,23.9,1461.0,0.0,0.5483870967741935,0.6666666666666666,9.617936541093302,9.786279351630586,9.589529948672084,9.795233967095873,7.315949991661167,7.2875606403097235
21,4,1,3,4,3,0,0,0,0,14509,6.8,17194,201,50,-1110,-1148,20.1,1450.9,17,5,0,4,3,4,0,0,0,0,15619,6.8,18342,241,44,24.1,1561.9,0.0,0.5526315789473685,0.42857142857142855,9.582593345878234,9.752373922866367,9.656307423393677,9.817003309314352,7.280628322489642,7.354298348848148
37,1,0,10,8,10,0,0,0,0,18588,7.2,19735,225,64,2382,2614,22.5,1858.8,16,1,1,8,10,7,0,0,0,0,16206,6.8,17121,192,28,19.2,1620.6,0.0,0.6981132075471698,0.5555555555555556,9.830325286907144,9.890199658209193,9.69319852665812,9.74811946530243,7.528224234044097,7.39116859513779
53,1,0,6,10,6,1,0,1,0,15485,6.8,17138,193,50,-2854,-2798,19.3,1548.5,13,2,1,10,6,9,0,0,0,0,18339,7.4,19936,225,52,22.5,1833.9,1.0,0.803030303030303,0.375,9.647691668946669,9.749111847392573,9.816839745810455,9.900332580842827,7.345687577227803,7.514745263090908
17,4,1,5,3,6,1,1,0,0,16695,7.2,19112,257,56,1551,1481,25.7,1669.5,14,2,0,3,5,3,0,0,0,0,15144,6.8,17631,224,52,22.4,1514.4,1.0,0.5483870967741935,0.625,9.722924448757036,9.858124010784598,9.625425723461337,9.777470711952642,7.420878261796811,7.323434709497273
17,3,1,5,5,6,0,0,0,0,16563,6.8,17565,226,53,1149,-530,22.6,1656.3,19,5,0,5,5,6,0,0,0,0,15414,6.8,18095,205,51,20.5,1541.4,0.0,0.4722222222222222,0.5,9.714986944665458,9.773720494477063,9.64309634032025,9.803446198355902,7.4129450511294985,7.341094923856281
11,2,0,0,7,0,0,0,0,0,13068,6.4,15506,198,48,-5375,-4425,19.8,1306.8,124,1,1,7,0,5,2,1,1,0,18443,7.2,19931,235,63,23.5,1844.3,0.0,0.08148148148148149,0.0,9.477998292597036,9.64904681386415,9.822494393326597,9.900081759401296,7.176101615127176,7.520397144882432
18,1,1,7,2,6,1,1,0,0,16580,7.4,19213,210,48,1586,1273,21.0,1658.0,30,1,0,2,7,1,0,0,0,0,14994,7.0,17940,232,68,23.2,1499.4,1.0,0.375,0.7777777777777778,9.716012740501373,9.863394458969683,9.61547209118311,9.794843875419385,7.413970290190444,7.3134870182077325
14,2,0,6,7,5,0,0,0,0,16169,6.6,17326,214,42,-620,-1984,21.4,1616.9,18,5,1,7,6,4,2,1,1,0,16789,7.0,19310,237,56,23.7,1678.9,0.0,0.4375,0.46153846153846156,9.690912952571152,9.760021257510846,9.728538750071586,9.868430160720726,7.3888842910112915,7.4264895468161685
11,1,1,2,3,5,1,1,0,0,14305,6.8,17323,214,47,-1517,-972,21.4,1430.5,16,0,0,3,2,3,1,0,1,0,15822,7.0,18295,225,68,22.5,1582.2,0.5,0.4074074074074074,0.4,9.56843430866833,9.759848102334518,9.669219856718984,9.814437735702617,7.266478124538169,7.367203394288356
24,1,1,8,5,5,0,0,0,0,17785,7.2,19422,238,55,2597,2731,23.8,1778.5,37,2,0,5,8,4,1,1,0,0,15188,6.6,16691,199,47,19.9,1518.8,0.0,0.39344262295081966,0.6153846153846154,9.786166909959585,9.874213209832133,9.62832676063802,9.722684841711443,7.484087704950247,7.326334026235685
15,3,1,2,5,1,1,0,1,0,14534,7.0,17364,224,60,-2269,-1616,22.4,1453.4,16,3,0,5,2,7,1,1,0,0,16803,7.0,18980,250,64,25.0,1680.3,0.5,0.4838709677419355,0.2857142857142857,9.584314812992977,9.762211965178174,9.729372232289272,9.851193757814993,7.2823487234232145,7.427322582684883
14,0,1,6,10,8,0,0,0,0,15091,6.2,14181,172,48,-2623,-3436,17.2,1509.1,10,1,0,10,6,15,1,1,0,0,17714,6.8,17617,211,49,21.1,1771.4,0.0,0.5833333333333334,0.375,9.621920081084202,9.559728833863941,9.782167017299573,9.776676385669742,7.319931152781743,7.480089839325334
18,1,0,4,7,7,0,0,0,0,15818,6.8,17864,233,47,-60,1347,23.3,1581.8,62,3,1,7,4,13,1,1,0,0,15878,6.6,16517,186,36,18.6,1587.8,0.0,0.225,0.36363636363636365,9.66896702819858,9.79059877045751,9.672752760526098,9.712205974370661,7.366950709511269,7.370734293290908
14,6,1,4,5,5,0,0,0,0,15165,6.8,17251,218,49,-1286,-1695,21.8,1516.5,14,4,0,5,4,5,1,1,0,0,16451,7.2,18946,244,52,24.4,1645.1,0.0,0.5,0.4444444444444444,9.62681135926088,9.755683357767733,9.708202329350314,9.849400886632361,7.3248195229336535,7.406164132733039
38,4,1,5,7,4,0,0,0,0,16562,7.2,18781,210,64,44,170,21.0,1656.2,21,1,0,7,5,8,1,1,0,0,16518,7.0,18611,245,36,24.5,1651.8,0.0,0.6440677966101694,0.4166666666666667,9.714926570952155,9.84065424336456,9.712266512555141,9.831561812964539,7.4128847102032465,7.410226098365374
17,3,1,6,5,8,0,0,0,0,17457,7.0,18210,251,64,2783,1603,25.1,1745.7,123,1,0,5,6,8,2,1,1,0,14674,6.6,16607,190,52,19.0,1467.4,0.0,0.12142857142857143,0.5454545454545454,9.767553275295295,9.80978108609582,9.593900644696298,9.717639785965615,7.465483572434347,7.291928651622679
