feature,mean_abs_shap
blueGoldDiff,0.12691943
blueExperienceDiff,0.07275725
redTotalGold,0.038920917
blue_kill_share,0.028334416
blueGoldPerMin,0.025440028
blueDragons,0.024740536
redTotalExperience,0.02310856
blueTotalGold,0.015379656
blueTotalExperience,0.014801742
redDragons,0.014589391
blue_objective_share,0.007098376
redEliteMonsters,0.0066621494
redTotalMinionsKilled,0.0051315124
blueAssists,0.0049668592
blueKills,0.0048351414
blueTotalMinionsKilled,0.0042743613
blueFirstBlood,0.0040202737
blue_vision_share,0.003715619
redWardsDestroyed,0.0031325936
blueEliteMonsters,0.0029482695
redAssists,0.0028031394
redTotalJungleMinionsKilled,0.0027292185
blueTotalJungleMinionsKilled,0.002608996
blueWardsDestroyed,0.002520178
log_blueTotalExperience,0.0023595248
redGoldPerMin,0.002060436
blueCSPerMin,0.0019254561
log_redTotalGold,0.0018741746
redWardsPlaced,0.0018566158
log_redTotalExperience,0.0018514248
blueAvgLevel,0.0018043454
blueDeaths,0.0016015243
redAvgLevel,0.00095267844
blueWardsPlaced,0.0009284042
redHeralds,0.0008018543
blueTowersDestroyed,0.0005376855
redFirstBlood,0.0002609851
log_blueTotalGold,0.0
log_blueGoldPerMin,0.0
redKills,0.0
redCSPerMin,0.0
redTowersDestroyed,0.0
redDeaths,0.0
blueHeralds,0.0
log_redGoldPerMin,0.0
